temperature,ph,color_score,quality
92.61,5.32,1.47,average
89.82,5.5,4.47,excellent
87.96,5.28,8.44,excellent
77.48,5.19,4.37,bad
92.82,5.89,6.88,excellent
70.52,5.0,3.05,bad
81.27,5.25,5.99,good
95.73,5.31,7.56,excellent
79.21,5.6,4.04,average
89.06,6.04,7.18,good
81.22,5.65,6.21,good
89.12,5.53,8.7,excellent
78.27,5.7,2.47,bad
73.97,5.9,4.43,bad
74.59,5.17,7.66,average
81.33,5.42,5.33,good
86.68,5.38,6.37,excellent
81.85,4.83,7.4,average
89.83,5.95,6.1,good
90.52,4.74,2.08,bad
89.59,5.26,1.73,average
85.46,5.9,8.11,excellent
87.82,5.98,7.6,good
76.69,5.43,7.63,good
86.62,4.86,1.44,bad
85.53,6.03,8.51,good
81.84,5.79,3.87,average
91.73,6.02,4.56,good
84.75,5.0,4.23,average
95.18,5.57,1.95,good
76.81,5.27,9.54,good
95.62,5.91,9.51,excellent
92.67,5.46,4.22,excellent
89.25,5.21,1.53,average
81.37,5.51,7.52,excellent
94.79,5.08,5.19,excellent
78.95,6.36,2.36,bad
91.5,5.61,9.87,excellent
91.23,5.89,4.47,good
79.73,5.83,5.11,average
86.65,5.75,5.62,good
87.3,6.14,2.67,bad
82.46,5.9,3.86,average
88.58,4.45,3.08,bad
85.58,6.13,1.58,bad
87.43,5.09,9.92,excellent
90.86,5.16,1.88,average
92.58,5.38,1.05,average
87.54,5.61,6.21,excellent
85.9,5.59,4.13,good
87.44,5.61,7.78,excellent
83.83,5.46,5.32,good
82.11,5.33,9.2,excellent
79.06,5.04,1.08,bad
87.22,5.25,9.55,excellent
90.97,5.98,2.76,average
84.03,5.89,9.99,excellent
86.91,4.99,1.95,bad
87.53,5.46,3.3,good
82.72,5.19,9.02,excellent
85.78,5.01,5.99,good
82.19,5.29,2.99,average
89.57,4.74,6.83,good
85.06,6.03,4.89,average
81.74,4.69,5.5,bad
87.09,6.68,3.28,bad
81.81,5.36,6.97,good
80.33,5.34,1.12,bad
78.12,6.83,7.77,bad
75.16,5.25,1.77,bad
88.26,5.61,2.59,good
79.88,5.71,2.05,bad
86.01,5.97,7.89,good
86.13,6.21,4.8,average
76.39,5.7,5.51,average
81.78,5.35,8.87,excellent
91.67,6.26,6.94,good
87.89,5.93,3.55,average
93.77,5.12,8.0,excellent
86.07,5.08,5.03,average
82.84,5.37,4.38,average
78.24,5.98,7.08,average
85.36,5.36,8.22,excellent
84.03,5.26,2.94,average
83.85,5.42,2.6,average
90.96,4.9,5.32,good
85.47,6.48,8.83,average
91.39,5.72,3.33,good
92.33,6.02,6.45,excellent
83.5,6.45,2.27,bad
75.67,4.45,1.89,bad
87.24,5.48,4.73,good
85.15,5.54,8.07,excellent
79.36,4.55,3.96,bad
89.95,5.29,2.98,good
82.4,5.63,4.76,good
87.02,5.19,1.43,bad
83.19,5.2,6.35,good
85.62,4.88,6.3,average
82.7,6.05,4.45,bad
84.3,5.34,9.58,excellent
84.14,5.16,7.73,good
78.14,5.64,6.8,good
89.87,5.3,7.78,excellent
83.36,6.05,7.39,good
87.82,6.17,4.55,average
87.61,4.63,2.86,bad
91.98,4.74,8.02,good
90.25,5.47,5.87,excellent
85.61,5.65,8.02,excellent
87.52,5.26,6.85,excellent
74.63,5.24,1.18,bad
89.44,5.12,3.15,average
78.26,5.89,9.08,good
86.93,5.54,5.66,excellent
89.67,5.56,1.63,average
79.68,5.16,1.01,bad
87.12,4.91,8.66,excellent
80.19,6.45,9.23,average
91.82,6.4,1.81,bad
75.91,5.27,9.09,good
80.88,5.09,4.99,average
83.13,5.83,1.72,bad
80.84,5.66,8.36,excellent
85.93,5.41,6.83,excellent
83.62,4.29,3.36,bad
73.81,5.65,2.93,bad
92.28,5.26,1.07,average
77.18,4.32,8.71,bad
95.77,5.57,9.76,excellent
84.51,4.89,2.16,bad
78.2,5.08,9.42,good
88.56,5.07,4.18,average
81.87,4.24,7.05,bad
89.8,4.5,4.41,bad
84.85,3.85,9.72,bad
88.78,6.09,5.91,good
79.87,5.6,1.79,bad
83.87,4.83,5.63,average
77.41,4.69,2.03,bad
89.05,6.09,1.63,bad
77.41,5.75,2.68,bad
87.46,4.77,3.65,bad
81.11,4.95,4.19,bad
81.0,5.2,3.01,bad
87.23,5.96,1.72,bad
84.47,5.39,7.59,excellent
93.76,4.96,3.36,average
79.63,5.46,1.45,bad
91.1,5.38,8.07,excellent
80.68,5.53,5.51,good
92.99,5.87,9.63,excellent
83.71,5.09,5.1,average
73.77,4.51,3.07,bad
86.66,5.69,8.41,excellent
84.7,5.95,9.84,excellent
86.0,4.88,9.9,excellent
73.9,5.95,4.6,bad
87.06,6.35,4.82,bad
85.63,6.05,4.32,average
80.44,6.04,3.92,bad
79.59,4.83,7.31,average
89.11,5.95,6.62,good
79.93,5.32,6.75,good
77.09,4.59,2.16,bad
89.14,5.4,5.98,excellent
86.92,5.06,3.95,average
88.51,5.08,1.74,bad
97.23,5.59,9.9,excellent
77.4,5.58,8.18,good
85.55,6.19,1.59,bad
89.2,5.45,5.83,excellent
92.58,5.55,8.33,excellent
86.18,5.41,7.72,excellent
84.37,4.92,7.49,good
88.3,5.95,8.13,excellent
74.11,5.89,1.28,bad
80.79,6.0,6.94,average
85.97,4.8,3.97,bad
83.04,4.84,1.33,bad
84.03,5.28,2.43,average
80.32,6.22,8.51,average
83.48,5.04,2.63,bad
88.21,4.01,5.69,bad
90.84,6.25,8.85,excellent
97.56,5.88,4.18,excellent
89.46,5.8,3.37,good
85.43,5.74,7.38,excellent
80.68,5.39,4.48,average
85.8,5.42,2.19,average
80.95,6.34,9.18,average
86.6,5.02,9.06,excellent
86.57,6.02,6.49,good
82.93,4.93,3.27,bad
78.2,5.91,1.14,bad
86.5,5.42,4.38,good
85.59,4.86,9.8,excellent
84.63,5.28,8.79,excellent
85.99,4.97,7.44,good
86.95,5.3,3.69,good
88.43,5.36,8.41,excellent
83.07,6.0,1.16,bad
96.53,5.86,3.56,good
86.3,5.51,2.21,average
88.13,4.79,2.0,bad
84.25,4.84,6.81,average
85.55,6.24,9.05,good
79.8,5.16,2.06,bad
82.05,5.81,5.3,average
90.06,5.34,3.96,good
82.62,4.81,3.68,bad
86.96,5.32,3.7,good
83.58,5.68,6.95,good
88.09,5.27,3.55,good
87.76,6.06,2.66,bad
80.52,6.25,9.2,average
84.08,5.68,9.57,excellent
82.01,5.33,4.37,average
90.13,5.96,5.45,good
89.95,5.79,9.44,excellent
83.87,5.72,3.38,average
80.98,4.49,1.21,bad
89.98,5.23,6.7,excellent
86.32,6.05,2.35,bad
86.12,5.86,1.54,bad
82.42,5.05,7.35,good
81.85,5.39,3.66,average
76.86,5.22,3.9,bad
85.12,5.94,1.76,bad
90.3,4.96,4.3,average
90.84,5.3,6.77,excellent
87.21,5.6,7.03,excellent
90.33,5.16,6.52,excellent
86.09,5.98,3.48,average
83.6,5.76,2.2,bad
87.91,4.05,1.7,bad
87.74,5.2,9.34,excellent
80.1,5.57,7.15,good
92.99,5.64,7.14,excellent
84.02,5.44,3.63,good
89.47,6.09,7.49,good
83.92,6.28,6.07,average
78.88,5.66,1.86,bad
86.28,5.39,6.27,excellent
91.55,5.32,4.82,excellent
84.12,5.85,9.24,excellent
86.56,5.14,3.91,average
76.23,5.79,6.38,average
88.84,5.54,4.32,good
88.49,5.1,9.34,excellent
89.79,5.03,3.68,average
82.17,6.0,9.01,good
87.36,5.72,4.19,good
81.91,4.61,4.72,bad
74.64,5.17,7.9,average
80.49,5.04,7.42,average
83.94,5.58,5.16,good
88.16,5.26,4.09,good
83.63,6.19,1.1,bad
92.41,5.81,9.87,excellent
81.9,5.83,9.22,excellent
82.38,5.88,3.16,bad
77.47,5.26,1.11,bad
88.55,4.86,4.86,average
82.41,5.62,4.06,average
91.76,5.68,5.88,excellent
83.76,6.12,6.6,average
82.07,5.4,4.47,average
93.36,5.73,1.65,good
85.71,5.89,7.58,good
76.49,5.89,3.22,bad
81.48,5.84,5.33,average
82.62,5.21,5.86,good
81.93,5.62,4.37,average
87.12,5.37,3.77,good
92.35,5.98,7.63,excellent
90.64,5.79,6.78,excellent
93.13,5.2,1.98,average
86.15,6.16,9.99,excellent
82.69,6.23,5.27,bad
89.69,5.7,4.88,good
76.13,6.14,7.29,bad
