temp,humidity,aroma,color,quality
27.88,82.46,1880,116,Good
26.86,88.88,480,165,Bad
23.42,78.59,1915,99,Average
36.74,49.83,1413,64,Bad
36.28,73.68,960,60,Average
22.44,69.91,1068,117,Good
29.76,82.0,1243,138,Good
22.48,55.94,382,74,Bad
21.39,79.15,1748,51,Bad
20.6,57.67,806,93,Good
31.23,43.58,1881,50,Average
38.77,64.58,1602,147,Good
34.62,46.68,1350,71,Bad
31.5,89.03,1600,79,Average
31.33,77.87,892,156,Average
37.17,79.08,272,181,Bad
27.78,50.08,1626,132,Excellent
39.06,44.46,888,83,Average
32.64,56.66,322,162,Bad
30.51,62.16,443,131,Good
24.03,41.09,1974,184,Bad
35.86,63.89,1051,137,Good
38.91,57.59,1662,105,Good
29.75,58.72,1158,54,Good
21.59,65.81,1499,62,Average
22.25,44.83,372,150,Bad
36.09,79.5,1464,120,Average
36.48,77.73,244,122,Bad
27.81,86.29,1649,77,Average
25.09,66.18,818,53,Good
25.6,47.89,1193,164,Average
32.26,46.3,1903,170,Bad
38.36,68.56,1088,101,Good
20.53,44.8,1782,190,Bad
25.89,64.14,273,73,Average
33.34,53.71,634,110,Average
23.61,40.96,402,66,Bad
22.44,82.92,1164,63,Bad
27.87,54.78,1261,165,Good
34.37,49.72,1675,182,Bad
30.7,56.06,383,185,Average
20.29,70.24,1376,85,Good
31.47,70.79,618,163,Average
36.62,77.27,1016,102,Average
24.75,79.05,1077,71,Bad
38.03,78.82,1933,154,Bad
20.12,67.45,626,92,Average
33.38,89.37,887,147,Average
36.59,44.0,1571,81,Average
20.32,45.32,537,89,Bad
38.05,76.98,226,128,Bad
22.07,89.81,239,87,Bad
36.72,55.0,1559,178,Average
20.42,77.54,492,169,Bad
23.07,45.68,1234,90,Average
34.27,41.38,1103,180,Bad
24.29,89.38,1264,171,Bad
33.11,40.35,1413,169,Bad
36.78,87.18,1837,139,Average
38.64,51.91,1850,77,Average
29.23,72.06,1135,89,Excellent
34.46,82.41,320,107,Bad
20.99,88.35,554,83,Bad
20.63,85.34,1750,83,Average
30.3,79.09,1014,171,Average
39.03,48.33,1534,63,Bad
36.59,52.41,786,91,Average
31.85,81.38,682,71,Bad
34.67,61.74,1538,149,Good
21.77,44.63,971,162,Bad
26.5,47.37,1529,57,Average
25.99,67.14,1014,91,Excellent
22.64,72.56,1978,117,Good
35.18,77.3,1210,64,Bad
38.46,79.88,392,119,Bad
27.23,78.77,1566,186,Average
31.14,70.31,1050,105,Excellent
24.86,50.78,390,64,Bad
21.08,43.54,1569,77,Bad
20.43,61.26,1201,117,Good
28.38,55.28,1876,112,Excellent
22.79,60.31,793,99,Average
34.63,43.36,847,127,Average
38.14,85.24,205,187,Bad
23.03,45.52,1418,110,Average
21.44,72.43,1403,163,Average
36.9,86.49,1114,129,Average
34.27,55.6,1964,60,Average
37.31,89.37,703,181,Bad
20.2,71.65,792,144,Average
21.47,69.36,1011,59,Average
31.37,71.02,645,180,Average
23.72,86.46,810,79,Bad
32.95,64.39,1501,78,Average
23.8,75.36,851,138,Average
33.66,71.45,1635,185,Average
24.91,68.65,1766,199,Average
33.78,43.38,1865,62,Bad
20.22,71.19,1145,192,Average
30.31,67.79,1911,81,Excellent
20.33,41.73,1829,119,Average
21.15,49.83,1448,86,Average
30.7,61.94,261,112,Good
23.4,75.34,1584,149,Average
34.83,63.36,1137,130,Good
20.93,40.39,799,182,Bad
37.76,89.5,1650,143,Average
36.66,84.87,347,125,Bad
34.3,83.05,587,183,Bad
29.05,85.59,1869,52,Average
38.4,81.19,1702,151,Bad
22.0,74.1,1687,179,Average
37.9,84.39,861,153,Bad
25.09,45.54,1616,196,Average
37.55,46.22,1409,170,Bad
27.42,45.09,1424,85,Good
32.75,68.58,1708,166,Average
27.07,49.0,1995,195,Average
23.73,45.36,1745,177,Bad
38.01,65.98,1480,146,Good
36.21,43.08,1319,169,Bad
23.29,49.2,1248,81,Average
35.43,72.07,449,109,Average
24.43,64.16,365,153,Bad
31.84,72.37,640,121,Good
38.53,55.02,296,120,Average
34.09,57.92,1682,75,Average
26.82,52.49,695,125,Good
34.67,44.23,1620,173,Bad
30.95,76.14,1293,84,Good
34.61,60.44,1502,192,Average
21.15,78.23,299,193,Bad
28.94,54.57,1593,155,Good
39.43,43.28,871,77,Bad
21.65,66.41,509,66,Bad
35.83,67.58,957,179,Average
23.62,72.08,1069,64,Average
36.9,51.26,1748,105,Good
23.01,66.46,969,77,Average
24.16,52.32,1111,73,Average
39.59,61.2,1958,198,Average
33.41,61.73,766,86,Average
32.06,56.58,560,106,Average
38.44,62.25,298,115,Average
26.36,69.03,806,52,Good
32.11,88.44,425,67,Bad
36.79,77.08,560,157,Bad
36.59,58.62,658,165,Bad
21.5,78.5,712,173,Bad
36.96,71.41,1391,121,Good
24.48,56.83,1618,153,Average
22.09,84.39,648,169,Bad
33.39,57.08,1097,169,Average
35.95,84.1,1853,58,Bad
32.06,66.78,654,175,Bad
20.92,43.16,1689,77,Bad
36.73,85.87,1626,126,Average
28.22,48.4,1048,123,Good
38.97,79.08,922,195,Bad
35.1,88.75,1762,165,Bad
34.82,78.24,291,51,Bad
24.25,75.48,1136,186,Bad
29.43,48.44,1936,58,Average
27.97,68.4,1843,105,Excellent
39.51,79.71,1386,158,Bad
28.82,52.19,508,99,Good
21.13,48.23,1492,146,Average
32.25,74.19,1556,169,Average
30.78,45.17,468,150,Average
32.23,71.26,383,184,Bad
32.93,59.36,1302,119,Good
25.03,77.89,1066,153,Average
35.05,72.76,1386,139,Good
35.98,68.61,1067,82,Good
31.26,89.55,1378,115,Good
37.38,57.62,579,163,Bad
21.58,55.69,341,134,Average
26.8,80.85,1778,107,Good
25.35,50.42,818,72,Good
27.84,68.49,568,71,Average
29.83,51.09,1775,144,Excellent
36.23,54.41,797,90,Average
23.54,67.41,850,165,Average
27.25,81.69,1642,74,Average
24.04,63.84,561,185,Bad
31.14,89.59,1473,124,Good
21.13,77.0,1954,89,Average
21.84,80.7,1787,81,Average
33.84,59.77,775,197,Bad
21.81,87.73,788,80,Bad
34.77,60.16,400,194,Bad
38.35,83.21,1871,163,Bad
38.89,81.73,1032,71,Bad
31.86,77.14,636,50,Bad
38.81,68.26,1573,186,Average
22.79,54.09,761,102,Average
21.46,56.41,1040,194,Average
33.11,66.57,1934,121,Good
27.38,85.15,1889,64,Average
31.23,69.5,848,92,Excellent
21.95,69.91,767,150,Average
34.7,54.72,1062,193,Average
21.27,76.76,1455,165,Bad
36.96,82.68,614,138,Bad
35.57,84.95,860,141,Average
37.85,88.45,1579,158,Bad
21.83,74.89,528,102,Average
32.45,88.53,860,195,Bad
34.73,41.94,426,92,Bad
34.76,51.65,430,102,Average
22.12,79.12,1789,169,Bad
27.79,44.76,262,101,Average
38.65,86.29,230,123,Bad
30.86,86.05,1517,60,Average
30.77,74.97,273,177,Average
39.98,59.85,1054,194,Average
20.44,65.28,1874,77,Average
36.81,68.6,1128,145,Good
24.95,50.98,950,184,Average
34.36,72.52,1006,97,Good
38.47,66.92,1280,188,Average
28.0,77.44,429,195,Bad
37.88,88.99,1379,179,Bad
34.51,71.2,1129,60,Average
30.78,81.15,1112,120,Good
36.02,75.72,1802,152,Bad
28.79,65.81,825,112,Excellent
28.98,40.45,927,184,Average
37.83,72.46,1860,175,Average
39.05,65.47,1154,56,Average
23.42,81.23,1978,71,Bad
33.48,41.69,950,146,Average
25.65,67.5,850,100,Excellent
27.91,44.96,1513,101,Good
28.29,74.7,417,99,Good
36.19,85.61,1030,54,Bad
24.32,48.16,370,173,Bad
22.08,40.87,747,70,Bad
23.1,84.55,1503,152,Bad
29.15,72.23,1699,168,Good
30.65,76.95,1115,174,Average
28.26,55.9,877,94,Excellent
25.73,73.83,1320,170,Good
32.18,75.06,1295,119,Average
31.06,58.02,1496,135,Excellent
25.16,41.49,606,61,Bad
32.93,72.39,770,113,Average
21.27,81.9,1460,161,Bad
36.44,59.05,1643,101,Good
23.81,65.23,623,167,Bad
31.13,65.42,822,197,Good
23.42,85.81,288,125,Bad
25.62,81.75,569,105,Average
32.35,50.21,989,150,Good
32.97,72.77,1805,141,Good
37.32,71.96,1650,125,Good
22.07,63.23,551,110,Average
21.43,50.0,658,111,Average
29.45,51.29,462,104,Good
33.64,69.66,997,127,Good
32.65,82.92,736,163,Bad
24.98,70.58,789,95,Average
34.1,56.87,623,153,Bad
31.32,71.15,366,89,Good
34.23,58.01,1362,78,Average
35.13,43.4,1993,110,Average
30.56,49.65,1504,135,Good
28.37,87.25,350,65,Bad
25.54,60.13,1038,64,Good
30.14,45.23,1962,198,Average
25.75,64.21,1612,186,Good
35.52,47.22,562,115,Bad
39.07,82.01,1011,52,Bad
20.14,65.79,217,58,Bad
29.64,85.87,345,131,Average
27.28,85.56,693,100,Average
29.2,68.08,1189,176,Good
27.1,73.46,1097,108,Excellent
36.39,71.92,751,178,Bad
34.04,58.32,968,124,Good
35.88,55.48,478,182,Bad
36.9,48.51,1298,62,Bad
27.72,72.06,1689,120,Excellent
28.44,60.54,1301,58,Good
33.87,81.88,206,145,Bad
34.06,80.37,459,166,Bad
37.8,54.89,422,160,Bad
26.29,61.91,1975,71,Good
21.22,69.61,970,183,Average
36.06,79.03,852,94,Average
28.29,73.54,1874,82,Excellent
37.76,43.06,391,170,Bad
34.75,65.75,393,77,Bad
22.98,57.6,399,167,Bad
30.01,89.63,223,130,Average
37.17,80.63,664,172,Bad
23.71,54.08,1549,118,Good
24.21,57.95,1747,76,Average
37.85,83.14,1770,92,Average
29.0,50.08,1508,188,Good
26.94,64.36,1973,178,Good
28.49,87.36,552,55,Bad
34.38,86.1,322,168,Bad
32.07,74.61,1655,184,Average
35.69,49.33,1977,66,Bad
